car speed(m/s),Yaw Angle (degree),LB Position X,LB Position Z,LB speed,LF Position X,LF Position Z,LF speed,B Position X,B Position Z,B speed,F Position X,F Position Z,F speed,RB Position X,RB Position Z,RB speed,RF Position X,RF Position Z,RF speed,LC
20.011,-1.42,0,0,0,0,0,0,-5.61,-146.46,15.535,0,0,0,-6.35,-72.7,15.599,0,0,0,0
20.11,-1.41,0,0,0,0,0,0,-5.92,-146.88,15.567,0,0,0,-6.47,-73.14,15.594,0,0,0,0
20.209,-1.41,0,0,0,0,0,0,-6.25,-147.32,15.524,0,0,0,-6.6,-73.6,15.605,0,0,0,0
20.307,-1.41,0,0,0,0,0,0,-6.58,-147.77,15.491,0,0,0,-6.73,-74.05,15.68,0,0,0,0
20.406,-1.4,0,0,0,0,0,0,-6.93,-148.22,15.49,0,0,0,-6.86,-74.51,15.723,0,0,0,0
20.504,-1.4,0,0,0,0,0,0,-7.29,-148.69,15.545,0,0,0,-7.08,-74.97,15.717,0,0,0,0
20.601,-1.39,0,0,0,0,0,0,-7.66,-149.15,15.619,0,0,0,-7.52,-75.42,15.824,0,0,0,0
20.699,-1.39,0,0,0,0,0,0,-8.04,-149.62,15.533,0,0,0,-7.83,-75.87,15.867,0,0,0,0
20.796,-1.38,0,0,0,0,0,0,0,0,0,0,0,0,-8.08,-76.34,15.926,0,0,0,0
20.893,-1.38,0,0,0,0,0,0,0,0,0,0,0,0,-8.34,-76.81,15.888,0,0,0,0
20.99,-1.37,0,0,0,0,0,0,0,0,0,0,0,0,-8.53,-77.31,15.882,0,0,0,0
21.087,-1.37,0,0,0,0,0,0,0,0,0,0,0,0,-8.73,-77.81,15.957,0,0,0,0
21.184,-1.36,0,0,0,0,0,0,0,0,0,0,0,0,-8.94,-78.31,16,0,0,0,0
21.28,-1.36,0,0,0,0,0,0,0,0,0,0,0,0,-9.16,-78.81,16.139,0,0,0,0
21.377,-1.35,0,0,0,0,0,0,0,0,0,0,0,0,-9.38,-79.31,16.052,0,0,0,0
21.473,-1.34,0,0,0,0,0,0,0,0,0,0,0,0,-9.62,-79.83,16.063,0,0,0,0
21.63,-1.34,0,0,0,0,0,0,0,0,0,0,0,0,-9.87,-80.35,16.105,0,0,0,0
21.745,-1.33,0,0,0,0,0,0,0,0,0,0,0,0,-10.13,-80.89,16.148,0,0,0,0
21.822,-1.32,0,0,0,0,0,0,0,0,0,0,0,0,-10.4,-81.43,16.093,0,0,0,0
